epoch,train_loss,valid_loss,accuracy,time
0,3.1880950927734375,3.3827288150787354,0.12600000202655792,00:50
1,2.6741058826446533,4.237838268280029,0.15199999511241913,00:54
2,1.50163733959198,0.8840356469154358,0.7409999966621399,00:54
3,0.7509516477584839,0.5855485200881958,0.8360000252723694,00:54
4,0.5244655609130859,1.2017805576324463,0.718999981880188,00:54
5,0.38997048139572144,0.2575756311416626,0.9129999876022339,00:52
6,0.36472010612487793,0.2886054217815399,0.9110000133514404,00:50
7,0.31078067421913147,0.21665672957897186,0.9375,00:50
8,0.2760544717311859,0.2577662169933319,0.9210000038146973,00:52
9,0.26449820399284363,0.21166041493415833,0.9369999766349792,00:54
10,0.22361519932746887,0.33859288692474365,0.9039999842643738,00:53
11,0.2142830193042755,0.12467959523200989,0.9664999842643738,00:53
12,0.19353461265563965,0.16064031422138214,0.9549999833106995,00:54
13,0.19129201769828796,0.13704462349414825,0.9574999809265137,00:54
14,0.1512898951768875,0.12143709510564804,0.9624999761581421,00:52
15,0.164323091506958,0.14272208511829376,0.9599999785423279,00:50
16,0.13373301923274994,0.10723669826984406,0.965499997138977,00:50
17,0.12096032500267029,0.1176222637295723,0.9664999842643738,00:51
18,0.12315098196268082,0.1088421568274498,0.9645000100135803,00:51
19,0.11447852849960327,0.12218768894672394,0.9649999737739563,00:52
20,0.11103910952806473,0.1216319352388382,0.9679999947547913,00:51
21,0.09393740445375443,0.09490805119276047,0.9729999899864197,00:50
22,0.1011977568268776,0.09428824484348297,0.9729999899864197,00:51
23,0.11647792905569077,0.13590547442436218,0.9574999809265137,00:56
24,0.11754859238862991,0.10240210592746735,0.9679999947547913,00:59
25,0.1519412249326706,0.12540575861930847,0.9559999704360962,00:53
26,0.2011743038892746,0.1536480188369751,0.9509999752044678,00:55
27,0.31113842129707336,0.2299230694770813,0.9244999885559082,01:00
28,0.6690608263015747,0.4938229024410248,0.843999981880188,00:57
29,1.0957974195480347,0.776186466217041,0.7519999742507935,00:54
