epoch,train_loss,valid_loss,accuracy,time
0,1.5337079763412476,1.4961419105529785,0.46970000863075256,02:00
1,1.2773138284683228,1.328043818473816,0.5444999933242798,02:30
2,1.1562893390655518,1.190352201461792,0.5885999798774719,02:46
3,1.0718308687210083,1.1537768840789795,0.6110000014305115,02:48
4,0.9808997511863708,0.9191241264343262,0.6852999925613403,02:34
5,0.9107493162155151,0.8930034041404724,0.6920999884605408,02:48
6,0.8680335879325867,0.8661081194877625,0.7006999850273132,02:51
7,0.8343020677566528,0.7496544718742371,0.7305999994277954,02:55
8,0.8197109699249268,0.8509645462036133,0.7124999761581421,03:01
9,0.8073289394378662,0.7879845499992371,0.7333999872207642,02:51
