epoch,train_loss,valid_loss,accuracy,time
0,2.2517495155334473,1.7870441675186157,0.37689998745918274,04:40
1,2.4560296535491943,2.1052160263061523,0.1881999969482422,04:42
2,1.636073112487793,1.6333470344543457,0.40470001101493835,04:42
3,1.4541078805923462,1.4211076498031616,0.4927000105381012,04:40
4,1.3421257734298706,1.2692394256591797,0.5486000180244446,04:47
5,1.1971492767333984,1.1878368854522705,0.5758000016212463,04:42
6,1.096556544303894,1.127988338470459,0.6029999852180481,04:39
7,1.0290056467056274,1.0783206224441528,0.6292999982833862,04:40
8,0.9390816688537598,1.0758225917816162,0.6233000159263611,04:48
9,0.8597584962844849,1.0714374780654907,0.631600022315979,04:34
10,0.7923934459686279,1.124764084815979,0.6230000257492065,04:40
11,0.7486482262611389,1.106895923614502,0.633899986743927,04:42
12,0.687715470790863,1.1293023824691772,0.6273000240325928,04:43
13,0.6455665826797485,1.1450765132904053,0.6331999897956848,04:46
14,0.6346753835678101,1.1580013036727905,0.6306999921798706,04:39
15,0.734825611114502,1.17173433303833,0.6176000237464905,04:46
16,0.849406898021698,1.174991250038147,0.6055999994277954,04:43
17,1.0621858835220337,1.255239725112915,0.5590000152587891,04:42
18,1.625974178314209,1.573746681213379,0.43309998512268066,04:46
19,2.4992074966430664,2.348789691925049,0.16050000488758087,04:43
